horizon,delta_gap
T_policy,-0.000446283062716879
T_policy,-0.0005067599208428142
T_policy,-0.0006592762020106724
T_policy,-0.000652116308822337
T_policy,-0.0003975314754592896
T_policy,-0.00041894380181062285
T_policy,-0.0005106552259226405
T_policy,-0.00044711375438932777
T_policy,-0.0005255486674841103
T_policy,-0.0003986175931898206
T_policy,-0.0003565280961875805
T_policy,-0.0004272687103604733
T_policy,-0.0004642972963654346
T_policy,-0.00048766091473062545
T_policy,-0.000661856543290873
T_policy,-0.00028495070546796786
T_policy,-0.00045118081902262297
T_policy,-0.0004706870794695117
T_policy,-0.00042286829583570995
T_policy,-0.00041298758821273207
T_policy,-0.0005742169223741378
T_policy,-0.0005509034539192825
T_policy,-0.00045745474872616043
T_policy,-0.0006074682659595876
T_eval,-0.0005618571680254814
T_eval,-0.0004584787755909092
T_eval,-0.0005801530127100829
T_eval,-0.0005968256755495283
T_eval,-0.0006075587741138921
T_eval,-0.0005834442292477204
T_eval,-0.0006212058651483554
T_eval,-0.000557867643613652
T_eval,-0.0005195459736747621
T_eval,-0.0006591726622110494
T_eval,-0.0004313527928542227
T_eval,-0.0005779982719656962
T_eval,-0.0005554694228788737
T_eval,-0.0005214481038983143
T_eval,-0.0005779775227006123
T_eval,-0.0006670809467742567
T_eval,-0.0006118632161216109
T_eval,-0.0004998530553802505
T_eval,-0.0006265494259416471
T_eval,-0.0005384543902537953
T_eval,-0.0006270448566452202
T_eval,-0.0006480001450206441
T_eval,-0.0005083948264926752
T_eval,-0.0005057685641040033
T_eval,-0.0005725872181938652
T_eval,-0.0005240019283102582
T_eval,-0.000513260122286141
T_eval,-0.0006091244523054318
T_eval,-0.00041047943655636576
T_eval,-0.0005341609110334211
T_eval,-0.0005306121110334461
T_eval,-0.0006015155003585848
T_eval,-0.0005104923293415276
T_eval,-0.000496181844378607
T_eval,-0.0006703158623238004
T_eval,-0.0005857201310669469
T_eval,-0.0005442094045046142
T_eval,-0.0005623475873620665
T_eval,-0.0005596997121252167
T_eval,-0.0005531160402978408
T_eval,-0.0006932489537105901
T_eval,-0.0006147938017024845
T_eval,-0.0005554837611537744
T_eval,-0.0005117339863164316
T_eval,-0.0006389401331740041
T_eval,-0.0004854252975040607
T_eval,-0.0005716398368970088
T_eval,-0.0006433497838636004
T_eval,-0.0005243035109711025
T_eval,-0.0005874495791985401
T_eval,-0.0005799202436936879
T_eval,-0.0005965243808145893
T_eval,-0.0005566566687404961
T_eval,-0.0006091648082732215
T_eval,-0.0006415285562993978
T_eval,-0.0006221849074558028
T_eval,-0.000582107575202051
T_eval,-0.0005566527043017189
T_eval,-0.0005795637768832851
T_eval,-0.0005963243772580951
T_eval,-0.0005220065041686706
T_eval,-0.0005277977200048856
T_eval,-0.0006753654727014169
T_eval,-0.0005192885399102343
T_eval,-0.0005465114546189254
T_eval,-0.00044677620806710117
T_eval,-0.00039821709161924623
T_eval,-0.0005690119888278611
T_eval,-0.0005419403720590132
T_eval,-0.00043053313059537857
T_eval,-0.0006356355245387135
T_eval,-0.0005322010542639921
T_eval,-0.0004468846228318224
T_eval,-0.0006526992197436465
T_eval,-0.0006468225975250208
T_eval,-0.0005429008284414394
T_eval,-0.0006227650502074189
T_eval,-0.0005796031222710107
T_eval,-0.0006329930821571406
T_eval,-0.0003968124489607261
T_eval,-0.00047216552398421374
T_eval,-0.0006014514821180983
T_eval,-0.0005938645303450452
T_eval,-0.0004983929937228959
T_eval,-0.000668993585433264
T_eval,-0.0004971104717521602
T_eval,-0.0004512867562289635
T_eval,-0.0006705456335620585
T_eval,-0.0006521091003608426
T_eval,-0.0005894712394385326
T_eval,-0.0004789666906074297
T_eval,-0.0004232402617666553
T_eval,-0.0005366854197740301
T_eval,-0.0007008475330795294
T_eval,-0.000583091137169256
T_eval,-0.0006075815456914047
